id,project,roadid,carriage,location,starterp,enderp,side,position,class,fault,repair,priority,comment,length,width,faulttime,inspector,inspection,seq,photoid,geom,,
MDC_RD_0521_3970,MDC_RD_0521,126,900,AORANGI ROAD,297.8,303.8,R,28(Opp)31,PVM,Scabbing,Chipseal,3,,6,2,4/05/2021 15:39,SF,2021_05,51,MDC_C10_210504_24681,,,
MDC_RD_0521_3868,MDC_RD_0521,126,900,AORANGI ROAD,339.8,345.8,L,(Opp)28,PVM,Scabbing,Chipseal,3,,6,1,4/05/2021 14:45,SF,2021_05,52,MDC_C10_210504_19348,,,
MDC_RD_0521_3969,MDC_RD_0521,126,900,AORANGI ROAD,363.7,373.7,R,(Opp)between #28 & #39,PVM,Scabbing,Chipseal,3,,10,1,4/05/2021 15:39,SF,2021_05,53,MDC_C10_210504_24673,,,
MDC_RD_0521_3869,MDC_RD_0521,126,900,AORANGI ROAD,452.4,462.4,L,39(Opp)46-2/117,PVM,Scabbing,Chipseal,3,,10,2,4/05/2021 14:45,SF,2021_05,54,MDC_C10_210504_19362,,,
MDC_RD_0521_3968,MDC_RD_0521,126,900,AORANGI ROAD,408.7,461.3,R,46-2/117(Opp)39,PVM,Scabbing,Chipseal,3,,52.6,2,4/05/2021 15:39,SF,2021_05,55,MDC_C10_210504_24663,,,
MDC_RD_0521_3967,MDC_RD_0521,126,900,AORANGI ROAD,509.8,549.8,R,(Opp)between #46-2/117 & #94,PVM,Scabbing,Chipseal,3,,40,1,4/05/2021 15:39,SF,2021_05,56,MDC_C10_210504_24653,,,
MDC_RD_0521_3966,MDC_RD_0521,126,900,AORANGI ROAD,563.8,603.8,R,(Opp)between #46-2/117 & #94,PVM,Scabbing,Chipseal,3,,40,3,4/05/2021 15:39,SF,2021_05,57,MDC_C10_210504_24647,,,
MDC_RD_0521_3965,MDC_RD_0521,126,900,AORANGI ROAD,677.8,683.8,R,(Opp)between #46-2/117 & #94,PVM,Scabbing,Chipseal,3,,6,1,4/05/2021 15:39,SF,2021_05,58,MDC_C10_210504_24639,,,
MDC_RD_0521_3964,MDC_RD_0521,126,900,AORANGI ROAD,783.8,886.6,R,94,PVM,Scabbing,Chipseal,3,,102.8,2,4/05/2021 15:39,SF,2021_05,59,MDC_C10_210504_24615,,,
MDC_RD_0521_3963,MDC_RD_0521,126,900,AORANGI ROAD,983.4,993.4,R,(Opp)between #94 & #101,PVM,Scabbing,Chipseal,3,,10,1,4/05/2021 15:39,SF,2021_05,60,MDC_C10_210504_24603,,,
MDC_RD_0521_3870,MDC_RD_0521,126,2750,AORANGI ROAD,1223.5,1233.5,L,121,PVM,Flushing,Water Cutting,3,,10,1,4/05/2021 14:45,SF,2021_05,61,MDC_C10_210504_19448,,,
MDC_RD_0521_3871,MDC_RD_0521,126,2750,AORANGI ROAD,1418.2,1421.2,L,175(Opp)140,PVM,Deformation/Shoving (C/S Rd),Stabilise,3,,3,1,4/05/2021 14:46,SF,2021_05,62,MDC_C10_210504_19470,,,
MDC_RD_0521_3961,MDC_RD_0521,126,2750,AORANGI ROAD,1424.1,1434.1,R,140(Opp)175,PVM,Deformation/Shoving (C/S Rd),Stabilise,3,,10,1,4/05/2021 15:24,SF,2021_05,63,MDC_C10_210504_24037,,,
MDC_RD_0521_3872,MDC_RD_0521,126,2750,AORANGI ROAD,1551.9,1635.7,L,147(Opp)160,PVM,Scabbing,Chipseal,3,,83.8,1,4/05/2021 14:46,SF,2021_05,64,MDC_C10_210504_19486,,,
MDC_RD_0521_3960,MDC_RD_0521,126,2750,AORANGI ROAD,1635.6,1645.6,R,162(Opp)175,PVM,Scabbing,Chipseal,3,,10,1,4/05/2021 15:24,SF,2021_05,65,MDC_C10_210504_24005,,,
MDC_RD_0521_3873,MDC_RD_0521,126,2750,AORANGI ROAD,1685.5,1687.5,L,175(Opp)170,PVM,Scabbing,Chipseal,3,,2,1,4/05/2021 14:46,SF,2021_05,66,MDC_C10_210504_19502,,,
MDC_RD_0521_3874,MDC_RD_0521,126,2750,AORANGI ROAD,1855.7,1858.7,L,213(Opp)192,PVM,Flushing,Water Cutting,3,,3,1,4/05/2021 14:46,SF,2021_05,67,MDC_C10_210504_19522,,,
MDC_RD_0521_3875,MDC_RD_0521,126,2750,AORANGI ROAD,1967.2,1977.2,L,213(Opp)192,PVM,Scabbing,Chipseal,3,,10,1,4/05/2021 14:46,SF,2021_05,68,MDC_C10_210504_19534,,,
