id,project,Service,Group,Board,Area,RoadID,CarriageWa,Location,ERP,Side,Position,Class,Fault,Repair,Priority,Comment,Size,Length,Width,Total,Easting,Northing,Latitude,Longitude,FaultTime,Inspector,Inspection,Seq,FaultID,PhotoID
ASM_SH_0520_226,TEST,SL1,STATE HIGHWAY,SH 1,10,3136,11162,01N-0373/9.56-D,19381,R,2,PVM,Depression,Level Mix,3,,3x1,3,1,3,1748466.245,5946914.185,-36.61174,174.660138,21/02/2020 11:12,SF,2020_02,226,272,SH1C3_200221_08053
ASM_SH_0520_227,TEST,SL1,STATE HIGHWAY,SH 1,10,3136,11162,01N-0373/9.56-D,19526,R,2,PVM,Ravelling,Mill and Fill,3,,60x3,60,3,180,1748500.483,5946772.88,-36.613008,174.660548,21/02/2020 11:12,SF,2020_02,227,271,SH1C3_200221_08041
ASM_SH_0520_228,TEST,SL1,STATE HIGHWAY,SH 1,10,3136,11162,01N-0373/9.56-D,19980,R,2,PVM,Alligator Cracking (A/C Rd),Mill and Fill,2,,80x2,80,2,160,1748678.818,5946356.421,-36.616733,174.662622,21/02/2020 11:12,SF,2020_02,228,270,SH1C3_200221_08003
ASM_SH_0520_229,TEST,SL1,STATE HIGHWAY,SH 1,10,3136,11162,01N-0373/9.56-D,20176,R,2,PVM,Depression,Level Mix,3,,5x1,5,1,5,1748698.281,5946162.991,-36.618473,174.662877,21/02/2020 11:12,SF,2020_02,229,269,SH1C3_200221_07987
ASM_SH_0520_230,TEST,SL1,STATE HIGHWAY,SH 1,10,3135,8812,01N-0373/9.56-I,710,L,2,VEG,Vegetation Encroachment (Vertical),Vegetation Vertical Trim,3,,10,10,,10,1750221.697,5955687.374,-36.532408,174.678048,21/05/2020 10:00,SF,2020_05,230,2290,SH1C3_200521_02640
ASM_SH_0520_231,TEST,SL1,STATE HIGHWAY,SH 1,10,3135,10072,01N-0373/9.56-I,9927,L,1,PVM,Ravelling,Mill and Fill,2,,130x3,130,3,390,1750231.573,5955770.986,-36.531653,174.678142,21/02/2020 10:18,SF,2020_02,231,217,SH1C3_200221_02709
ASM_SH_0520_232,TEST,SL1,STATE HIGHWAY,SH 1,10,3135,10200,01N-0373/9.56-I,11890,L,2,PVM,Rutting,Structural Asphalt SAC,3,,30x2,30,2,60,1750395.469,5953874.159,-36.54872,174.680342,21/02/2020 10:20,SF,2020_02,232,218,SH1C3_200221_02845
ASM_SH_0520_233,TEST,SL1,STATE HIGHWAY,SH 1,10,3135,11174,01N-0373/9.56-I,18948,L,2,PVM,Asphalt Delamination,Mill and Fill,2,,1x1,1,1,1,1748510.806,5947349.316,-36.607812,174.660552,21/02/2020 11:29,SF,2020_02,233,277,SH1C3_200221_08486
ASM_SH_0520_234,TEST,SL1,STATE HIGHWAY,SH 1,10,3135,11174,01N-0373/9.56-I,19711,L,2,PVM,Depression,Level Mix,3,,20x1,20,1,20,1748582.108,5946609.448,-36.614468,174.661492,21/02/2020 11:30,SF,2020_02,234,278,SH1C3_200221_08544
ASM_SH_0520_235,TEST,SL1,STATE HIGHWAY,SH 1,10,3135,11174,01N-0373/9.56-I,19844,L,2,PVM,Water Seepage,Investigate,2,,10,10,,10,1748644.325,5946492.96,-36.615508,174.66221,21/02/2020 11:30,SF,2020_02,235,279,SH1C3_200221_08554
ASM_SH_0520_236,TEST,SL1,STATE HIGHWAY,SH 1,10,3135,3858,01N-0373/9.56-I,20737,L,2,PVM,Ravelling,Mill and Fill,3,,20x1,20,1,20,1748701.088,5945612.294,-36.623435,174.663015,21/02/2020 11:30,SF,2020_02,236,280,SH1C3_200221_08620
ASM_SH_0520_237,TEST,SL1,STATE HIGHWAY,SH 1,10,3163,8811,01N-0381-R1,327,L,2,PVM,Variable Surface,Level Mix,2,,60x3,60,3,180,1750474.596,5955568.992,-36.533435,174.680895,21/02/2020 10:15,SF,2020_02,237,215,SH1C3_200221_02542
ASM_SH_0520_238,TEST,SL1,STATE HIGHWAY,SH 1,10,3164,10196,01N-0381-R2,15381,R,2,MSC,Traffic Services (GR/SR/EMP),Repair Traffic,2,yellow bollard,1,1,,1,1749179.816,5950811.948,-36.576505,174.667358,21/05/2020 9:52,SF,2020_05,238,2287,SH1C3_200521_01933
ASM_SH_0520_239,TEST,SL1,STATE HIGHWAY,SH 1,10,2704,2701,01N-0398/11.53-I,9,L,3,PVM,Ravelling,Mill and Fill,3,,80x3,80,3,240,1752757.485,5935404.81,-36.714772,174.710397,21/02/2020 12:23,SF,2020_02,239,316,SH1C3_200221_13759
ASM_SH_0520_240,TEST,SL1,STATE HIGHWAY,SH 1,10,2704,2686,01N-0398/11.53-I,185,L,3,PVM,Alligator Cracking (A/C Rd),Mill and Fill,2,,60x2,60,2,120,1753299.307,5933391.967,-36.732822,174.716865,21/02/2020 12:30,SF,2020_02,240,321,SH1C3_200221_14101
ASM_SH_0520_241,TEST,SL1,STATE HIGHWAY,SH 1,10,2704,11274,01N-0398/11.53-I,11852,L,2,BAR,Armco Barrier Damaged,Repair,3,,5,5,,5,1752876.914,5935163.188,-36.71693,174.711782,21/02/2020 11:42,SF,2020_02,241,282,SH1C3_200221_09998
